Date,CAC,ASX,NASDAQ,KOSPI,AUD,USD,KRW
09/28/15,4357.05,5113.5,4103.47,#N/A,0.621631237214267,0.88944231966557,0.000744278283292249
09/29/15,4343.73,4918.4,4083.372,#N/A,0.620898176967541,0.889284126278346,0.000744158362436065
09/30/15,4455.29,5021.6,4181.06,1467.45,0.62786327845383,0.894774516821761,0.000755440982085847
10/01/15,4426.54,5112.1,4192.963,1476.23,0.627657673753797,0.893335715561908,0.000758536240298468
10/02/15,4458.88,5052,4267.45,1468.15,0.628602016236952,0.892140244446427,0.000761146868395552
10/05/15,4616.9,5150.5,4331.432,1469.4,0.633080017881091,0.894054537326777,0.000770730025884929
10/06/15,4660.64,5167.4,4306.699,1486.06,0.635694000709975,0.88746893858715,0.000764677091270873
10/07/15,4667.34,5197.9,4333.464,1518.52,0.641210502892746,0.890075656430797,0.000768757962386572
10/08/15,4675.91,5210.4,4350.149,1538.13,0.643465153395992,0.886682035821954,0.000769702630099441
10/09/15,4701.39,5279.7,4370.009,#N/A,0.645675532851858,0.8807468733486,0.000767836513969399
10/12/15,4688.7,5232.9,4382.563,1537.9,0.648084544253633,0.880669308674593,0.00077038149399436
10/13/15,4643.38,5202.9,4352.938,1536.36,0.636603375527426,0.879043600562588,0.000764857956270905
10/14/15,4609.03,5197.3,4346.922,1532.49,0.635927830558703,0.871611609866643,0.000767256987057018
10/15/15,4675.29,5230,4418.221,1551.13,0.643647865050079,0.878580214373572,0.000783020404240109
10/16/15,4702.79,5268.2,4438.622,1548.2,0.639608672659968,0.881367882954345,0.000779667990299658
10/19/15,4704.07,5269.7,4462.066,1548.54,0.640144825150124,0.883080183680678,0.000780754499036902
10/20/15,4673.81,5235.6,4438.181,1554.45,0.639809590973202,0.881523272214386,0.00077977095968508
10/21/15,4695.1,5248.3,4413.525,1560.35,0.635850388143966,0.882145377558222,0.000774443517569791
10/22/15,4802.18,5263.8,4503.216,1552.55,0.648658382856114,0.900414190527643,0.000797278273117202
10/23/15,4923.64,5351.6,4624.09,1565.16,0.654802978027964,0.907935355002724,0.000799935996161024
10/26/15,4897.13,5348,4630.846,1570.2,0.655390738060782,0.904486251808973,0.000801401922515769
10/27/15,4847.07,5346.2,4639.234,1568.7,0.650615496017379,0.905141202027516,0.000797382879669042
10/28/15,4890.58,5335.2,4678.575,1565.72,0.651556776556777,0.915750915750916,0.0007997615047212
10/29/15,4885.82,5266.9,4670.765,1563.18,0.643768221574344,0.911078717201166,0.000798358482988079
10/30/15,4897.66,5239.4,4648.831,1569.58,0.648523398455248,0.908677873693775,0.000796973998117611
